User_type;El_kWh;Duration_hours;month_plugin;weekdays_plugin;KROPPAN BRU;MOHOLTLIA;SELSBAKK;MOHOLT RAMPE 2;Jonsvannsveien vest for Steinanvegen
Private;0.3;0.05;Dec;Friday;3244;1632;545;194;622
Private;0.87;0.136666667;Dec;Friday;3244;1632;545;194;622
Private;29.87;8.216388889;Dec;Friday;3605;1691;605;230;771
Private;15.56;24.41972222;Dec;Saturday;3052;1484;453;224;694
Private;3.62;0.970555556;Dec;Monday;1390;693;226;83;353
Private;16.14;18.07777778;Dec;Monday;984;470;198;52;277
Private;10.33;21.72083333;Dec;Tuesday;1087;511;207;68;262
Private;27.66;6.188055556;Dec;Wednesday;789;385;143;40;149
Private;8.83;2.371111111;Dec;Wednesday;1853;901;337;90;467
Private;8.58;4.856111111;Dec;Saturday;2487;1040;379;162;511
Private;15.95;15.42833333;Dec;Saturday;593;211;114;30;119
Private;3.64;0.981111111;Dec;Sunday;2037;965;388;113;483
Private;9.79;13.45472222;Dec;Sunday;790;324;164;39;179
Private;28.11;24.53388889;Jan;Wednesday;3225;1712;455;194;626
Private;14.64;4.879722222;Jan;Wednesday;1812;948;284;107;433
Private;2;16.37472222;Jan;Friday;5164;2897;784;330;1015
Private;29.34;23.24166667;Jan;Saturday;2429;995;368;239;564
Private;14.77;23.58583333;Jan;Saturday;2055;890;347;142;482
Private;10.46;17.28666667;Jan;Saturday;1098;380;187;67;242
Private;3.92;3.479722222;Jan;Sunday;2237;1031;382;115;482
Private;0.08;0.036944444;Jan;Monday;1506;774;288;127;427
Private;6.14;14;Jan;Monday;1506;774;288;127;427
Private;5.34;16.55194444;Jan;Tuesday;2068;944;352;132;530
Private;18.7;17.57194444;Jan;Wednesday;4232;2223;629;235;960
Private;10.38;18.33777778;Jan;Wednesday;1772;818;334;125;429
Shared;1.85;0.585;Jan;Wednesday;892;405;183;43;226
Private;0.34;0.056666667;Jan;Wednesday;456;185;96;27;77
Shared;5.1;0.831944444;Jan;Thursday;4212;2233;660;263;916
Private;8.35;18.63138889;Jan;Thursday;443;197;108;23;112
Shared;11.7;1.917777778;Jan;Friday;5180;2903;766;351;1121
Shared;7.28;4.500833333;Jan;Friday;2612;1286;478;159;628
Shared;16.79;14.88722222;Jan;Friday;2234;1034;436;116;505
Shared;14.63;2.374166667;Jan;Friday;1284;535;210;80;253
Shared;5.51;1.576388889;Jan;Saturday;2685;1365;424;178;637
Shared;11.99;1.938611111;Jan;Saturday;2904;1399;445;196;618
Shared;6.56;2.669444444;Jan;Saturday;2952;1366;546;248;672
Shared;19;5.477222222;Jan;Saturday;2952;1366;546;248;672
Private;6.19;24.53638889;Jan;Saturday;2085;870;345;147;503
Private;16.5;16.50194444;Jan;Saturday;800;343;135;43;181
Shared;5.72;3.818055556;Jan;Sunday;1777;771;301;78;479
Shared;14.4;2.879722222;Jan;Sunday;2055;1030;345;107;493
Shared;18.48;3.311944444;Jan;Sunday;2696;1466;437;155;728
Private;13.88;19.77722222;Jan;Sunday;2395;1444;446;128;584
Private;14.21;15.20972222;Jan;Monday;1908;1274;370;132;555
Shared;27.24;10.74611111;Jan;Monday;1761;1111;373;158;526
Private;4.09;16.47166667;Jan;Monday;1303;631;233;76;325
Private;3.97;1.730555556;Jan;Tuesday;4987;2712;804;266;1048
Private;15.47;13.74833333;Jan;Tuesday;2326;1120;433;156;602
Private;5.29;14.30305556;Jan;Tuesday;2074;1032;374;153;606
Shared;14.61;9.182222222;Jan;Tuesday;909;430;213;52;248
Shared;22.31;11.5975;Jan;Tuesday;486;183;93;18;89
Private;6.2;27.87416667;Jan;Wednesday;2530;1165;465;144;495
Shared;2.83;0.773055556;Jan;Thursday;2501;1191;354;134;502
Shared;3.67;1.006666667;Jan;Thursday;2490;1158;349;144;517
Private;30.2;21.61916667;Jan;Thursday;2885;1338;522;185;703
Private;9.25;23.40583333;Jan;Thursday;2301;1146;444;137;637
Shared;25.62;12.01138889;Jan;Thursday;1119;497;245;67;265
Shared;18.29;6.841944444;Jan;Thursday;1119;497;245;67;265
Shared;0.75;0.1325;Jan;Friday;107;30;27;1;3
Shared;1.45;0.309722222;Jan;Friday;107;30;27;1;3
Private;20.53;19.12833333;Jan;Friday;4731;2726;774;331;1048
Shared;16.71;2.735;Jan;Friday;861;324;180;39;182
Shared;13.06;4.411666667;Jan;Friday;658;257;114;37;141
Shared;8.79;3.454722222;Jan;Saturday;2553;1264;418;183;569
Shared;29.73;5.527222222;Jan;Saturday;2797;1339;422;168;579
Shared;14.84;2.502777778;Jan;Saturday;721;260;121;33;169
Shared;19.43;12.88361111;Jan;Sunday;1079;468;192;64;255
Shared;16.65;2.709166667;Jan;Monday;4919;2849;765;319;1081
Private;7.99;187.0569444;Jan;Monday;4283;2550;645;337;1010
Shared;24.36;4.046388889;Jan;Tuesday;3267;1432;556;177;676
Shared;18.47;4.346111111;Jan;Tuesday;2345;1142;423;173;740
Shared;2.92;0.9975;Jan;Wednesday;2370;1153;346;154;462
Shared;20.48;4.878611111;Jan;Wednesday;5168;2702;796;322;1106
Private;15.66;10.28333333;Jan;Wednesday;2065;954;368;166;554
Shared;19.25;6.458055556;Jan;Wednesday;1365;670;251;81;332
Shared;6.9;7.694166667;Jan;Thursday;4455;2808;679;297;1045
Shared;18.47;9.231666667;Jan;Thursday;1068;493;220;55;255
Shared;4.39;1.302777778;Jan;Friday;3255;1494;503;155;620
Private;0.71;0.204444444;Jan;Friday;4987;2875;815;349;1103
Private;0.01;0.007777778;Jan;Friday;4987;2875;815;349;1103
Private;0.47;0.143611111;Jan;Friday;4987;2875;815;349;1103
Private;0.03;0.013055556;Jan;Friday;4138;2178;590;244;908
Private;2.39;0.669722222;Jan;Friday;4138;2178;590;244;908
Shared;7.31;4.7925;Jan;Friday;4138;2178;590;244;908
Private;0.09;0.056666667;Jan;Friday;4138;2178;590;244;908
Private;2.51;0.7025;Jan;Friday;4138;2178;590;244;908
Shared;27.02;16.545;Jan;Friday;2141;989;393;156;550
Private;10.6;17.31055556;Jan;Friday;1656;785;268;95;363
Shared;14.63;4.032777778;Jan;Friday;1401;564;217;80;290
Shared;2.59;1.481111111;Jan;Saturday;1275;630;192;50;246
Shared;20.57;18.48861111;Jan;Saturday;2905;1365;511;195;655
Private;1.4;0.393055556;Jan;Saturday;2497;1092;448;165;519
Private;15.46;9.226111111;Jan;Saturday;1957;799;360;149;486
Shared;19.11;13.55638889;Jan;Saturday;1515;621;296;80;323
Private;0.94;5.880833333;Jan;Sunday;148;57;28;6;24
Shared;24.05;4.054166667;Jan;Sunday;2474;1237;433;125;741
Shared;22.78;4.003611111;Jan;Sunday;2471;1240;405;170;546
Shared;1.55;1.5975;Jan;Sunday;1782;870;299;106;370
Shared;16.49;11.85944444;Jan;Sunday;1999;999;326;100;466
Shared;15.59;10.17111111;Jan;Sunday;432;167;71;25;62
